,Up to Last Evidence,Total Evidence,Last Evidence,Posterior,Popularity,Class,Shift,Net,Game Net,Game,Nonsocial Probability Matching,Nonsocial Bayesian Probability Matching,Nonsocial Utility Maximizing,Naive Copying,Social Sampling (Probability Matching),Social Sampling (Bayesian)
58,0.625,0.6111111111111112,0.5,0.9993979795498968,0.75,azzitha,9,3,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/-3,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/,0.5,0.5663716814159293,1,0.6,0.5186111111111111,0.5845649568259095
59,0.59375,0.5833333333333334,0.5,0.9978960949093602,0.75,thuevil,9,3,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/-3,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/,0.5,0.5663716814159293,1,0.5,0.5,0.5663716814159293
60,0.625,0.5555555555555556,0.0,0.9926748606775366,0.25,noviid,9,3,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/-3,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/,0.0,0.09634926608957475,0,0.65,0.0,0.10653056063270919
61,0.59375,0.6111111111111112,0.75,0.9993979795498968,0.85,paked,9,3,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/-3,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/,0.75,0.8205128205128205,1,0.8,0.7896606156274665,0.8512063808574277
62,0.65625,0.6111111111111112,0.25,0.9993979795498968,0.35,cewab,9,3,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/-3,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/,0.25,0.27176220806794066,0,0.65,0.27153879125589375,0.2944398551185106
63,0.71875,0.6944444444444444,0.5,0.9999859504458593,0.75,edarti,9,3,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/-3,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/,0.5,0.5663716814159293,1,0.65,0.5279166666666667,0.5935946707660774
64,0.6111111111111112,0.65,1.0,0.9999623524738238,0.9,uthug,10,3,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/-3,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/,1.0,0.9411764705882353,1,0.6,1.0,0.9451669039708908
65,0.3611111111111111,0.35,0.25,0.007798847009227021,0.1,arpoep,10,3,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/-3,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/,0.25,0.27176220806794066,0,0.65,0.27153879125589375,0.2944398551185106
66,0.6111111111111112,0.6,0.5,0.9995390130483034,0.45,azzitha,10,3,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/-3,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/,0.5,0.5663716814159293,1,0.75,0.5465277777777777,0.6115218842955139
67,0.5833333333333334,0.6,0.75,0.9995390130483034,1.0,thuevil,10,3,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/-3,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/,0.75,0.8205128205128205,1,0.75,0.7833443928334439,0.8463787598722904
68,0.5555555555555556,0.5,0.0,0.9352710514144201,0.15,noviid,10,3,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/-3,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/,0.0,0.09634926608957475,0,0.25,0.0,0.08127754642628805
69,0.6111111111111112,0.6,0.5,0.9995390130483034,0.5,paked,10,3,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/-3,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/,0.5,0.5663716814159293,1,0.85,0.5651388888888889,0.6292749525777183
70,0.6111111111111112,0.6,0.5,0.9995390130483034,0.45,cewab,10,3,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/-3,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/,0.5,0.5663716814159293,1,0.35,0.4720833333333333,0.5387421523830752
71,0.6944444444444444,0.7,0.75,0.9999969266262964,0.7,edarti,10,3,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/-3,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/,0.75,0.8205128205128205,1,0.75,0.7833443928334439,0.8463787598722904
72,0.75,0.5,0.25,0.630444820686471,0.2,olit,2,4,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/-4,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/,0.25,0.27176220806794066,0,0.85,0.30225820829000144,0.32658855693472083
73,0.75,0.625,0.5,0.856545378502719,0.55,ewpief,2,4,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/-4,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/,0.5,0.5663716814159293,1,0.7,0.5372222222222223,0.6025802054427731
74,0.25,0.25,0.25,0.12223855319212436,0.1,ashfoveb,2,4,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/-4,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/,0.25,0.27176220806794066,0,0.1,0.19803516028955537,0.21658015064831804
75,0.25,0.25,0.25,0.12223855319212436,0.1,uthug,2,4,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/-4,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/,0.25,0.27176220806794066,0,0.15,0.2041335245794758,0.22309073247849218
76,0.25,0.25,0.25,0.12223855319212436,0.1,ayna,2,4,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/-4,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/,0.25,0.27176220806794066,0,0.05,0.19204152249134948,0.21017233302926466
77,0.25,0.5,0.75,0.630444820686471,0.85,bukokde,2,4,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/-4,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/,0.75,0.8205128205128205,1,0.25,0.713401310997815,0.7913652717288393
78,0.5,0.5,0.5,0.630444820686471,0.65,eguthek,2,4,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/-4,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/,0.5,0.5663716814159293,1,0.45,0.49069444444444443,0.5572074569671879
79,0.5,0.25,0.0,0.12223855319212436,0.25,biku,2,4,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/-4,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/,0.0,0.09634926608957475,0,0.7,0.0,0.11014132947141048
80,0.5,0.3333333333333333,0.0,0.15389960074130657,0.05,olit,3,4,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/-4,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/,0.0,0.09634926608957475,0,0.2,0.0,0.07851247040275273
81,0.625,0.75,1.0,0.9896409048352512,1.0,ewpief,3,4,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/-4,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/,1.0,0.9411764705882353,1,0.55,1.0,0.9432039225142674
82,0.25,0.3333333333333333,0.5,0.15389960074130657,0.4,ashfoveb,3,4,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/-4,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/,0.5,0.5663716814159293,1,0.1,0.4255555555555556,0.4917644698565554
83,0.25,0.25,0.25,0.049401990668765286,0.0,uthug,3,4,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/-4,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/,0.25,0.27176220806794066,0,0.1,0.19803516028955537,0.21658015064831804
84,0.25,0.3333333333333333,0.5,0.15389960074130657,0.05,ayna,3,4,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/-4,5aa2346f-cef8-9bbc-5eb9-ba97f76b76ed-data/data/,0.5,0.5663716814159293,1,0.1,0.4255555555555556,0.4917644698565554
